collision_id,a,out_strength_vector,frob2,field,frequency,DeltaW,DeltaW_next
1,-1 -1 -1 -1 -1,-2 -4 -4 -4 -4,20,local,19,0 1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 0 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
1,-1 -1 -1 -1 -1,-2 -4 -4 -4 -4,18,hub_local,21,0 -1 0 -1 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
2,-1 -1 -1 -1 -1,0 -4 -4 -4 -4,16,baseline,34,0 0 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
2,-1 -1 -1 -1 -1,0 -4 -4 -4 -4,16,hub,82,0 0 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
2,-1 -1 -1 -1 -1,0 -4 -4 -4 -4,16,local,5,0 0 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
2,-1 -1 -1 -1 -1,0 -4 -4 -4 -4,20,hub_local,34,0 -1 1 -1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 0 -1 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
3,-1 -1 -1 -1 -1,0 -4 -4 -4 0,12,baseline,23,0 0 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
3,-1 -1 -1 -1 -1,0 -4 -4 -4 0,12,local,9,0 0 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
3,-1 -1 -1 -1 -1,0 -4 -4 -4 0,16,hub_local,10,0 -1 1 -1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 0 -1 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
4,-1 -1 -1 -1 -1,0 -4 0 -4 -4,12,baseline,23,0 0 0 0 0;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
