collision_id,a,out_strength_vector,n_transition_rows,n_distinct_current_DeltaW,n_distinct_next_DeltaW,n_frob2_values,frob2_values,modal_errors_before,resolved_by_frob2,field_values
1,-1 -1 -1 -1 -1,-2 -4 -4 -4 -4,40,2,2,2,18|20,19,True,hub_local|local
2,-1 -1 -1 -1 -1,0 -4 -4 -4 -4,155,2,2,2,16|20,34,True,baseline|hub|hub_local|local
3,-1 -1 -1 -1 -1,0 -4 -4 -4 0,42,2,2,2,12|16,10,True,baseline|hub_local|local
4,-1 -1 -1 -1 -1,0 -4 0 -4 -4,40,2,2,2,12|16,10,True,baseline|hub_local|local
5,-1 -1 -1 -1 -1,0 -2 -4 -2 -4,5,2,2,2,16|20,1,True,hub_local
6,-1 -1 -1 -1 -1,0 3 -4 -4 -4,6,2,2,2,21|25,2,True,hub_local|local
7,-1 -1 -1 -1 -1,0 3 -4 -4 0,4,2,2,2,17|21,2,True,hub_local|local
8,-1 -1 -1 -1 -1,2 -4 -4 -4 -4,33,2,2,2,20|26,1,True,hub_local|local
9,-1 -1 -1 -1 -1,2 -4 -4 -4 4,13,2,2,2,20|26,3,True,hub_local|local
10,-1 -1 -1 -1 -1,2 -4 -4 7 -4,6,2,2,2,35|41,1,True,hub_local|local
11,-1 -1 -1 -1 -1,2 7 -4 -4 -4,6,2,2,2,35|41,1,True,hub_local|local
12,-1 -1 -1 -1 -1,4 -4 -4 -4 -4,230,2,2,2,20|24,2,True,baseline|hub|hub_local|local
13,-1 -1 -1 -1 -1,6 -4 -4 -4 -4,21,3,3,3,26|28|34,3,True,hub_local|local
14,-1 -1 -1 -1 -1,6 -4 -4 -4 8,13,2,2,2,40|46,3,True,hub_local|local
15,-1 -1 -1 -1 -1,6 -4 -4 11 -4,6,2,2,2,61|67,1,True,hub_local|local
16,-1 -1 -1 -1 -1,10 -4 -4 -4 -4,32,2,2,2,44|50,16,True,hub_local|local
17,-1 -1 -1 -1 -1,10 -4 -4 -4 12,13,2,2,2,76|82,3,True,hub_local|local
18,-1 -1 -1 -1 -1,10 -4 -4 15 -4,7,2,2,2,103|109,2,True,hub_local|local
19,-1 -1 -1 1 -1,0 -2 0 3 -4,2,2,2,2,17|21,1,True,hub_local
20,-1 -1 1 -1 1,-2 -4 -4 -4 -4,36,2,2,2,18|20,2,True,hub_local|local
21,-1 -1 1 -1 1,0 -4 0 -4 0,26,2,2,2,8|12,8,True,baseline|hub|hub_local
22,-1 1 -1 -1 -1,0 3 -4 -2 0,2,2,2,2,17|21,1,True,hub_local
23,-1 1 -1 1 -1,4 -4 -4 -4 -4,4,2,2,2,20|24,2,True,baseline|hub_local
24,-1 1 1 -1 1,6 -4 -4 11 -4,4,2,2,2,61|67,1,True,hub_local|local
25,-1 1 1 1 -1,6 -4 -4 -4 8,7,2,2,2,40|46,3,True,hub_local|local
26,-1 1 1 1 -1,6 -4 -4 -2 8,4,2,2,2,40|46,2,True,hub_local|local
27,-1 1 1 1 1,-2 -4 -4 -4 -4,2,2,2,2,18|20,1,True,hub_local|local
28,-1 1 1 1 1,2 -4 -4 -4 -4,4,2,2,2,18|26,2,True,hub_local
29,-1 1 1 1 1,6 -4 -4 -4 -4,30,2,2,2,28|34,14,True,hub_local|local
30,1 -1 -1 -1 -1,-2 -4 -4 -4 -4,2,2,2,2,18|20,1,True,hub_local|local
31,1 -1 -1 -1 -1,2 -4 -4 -4 -4,4,2,2,2,18|26,2,True,hub_local
32,1 -1 -1 -1 -1,6 -4 -4 -4 -4,30,2,2,2,28|34,14,True,hub_local|local
33,1 -1 -1 -1 1,6 -4 -4 -4 8,7,2,2,2,40|46,3,True,hub_local|local
34,1 -1 -1 -1 1,6 -4 -4 -2 8,4,2,2,2,40|46,2,True,hub_local|local
35,1 -1 -1 1 -1,6 -4 -4 11 -4,4,2,2,2,61|67,1,True,hub_local|local
36,1 -1 1 -1 1,4 -4 -4 -4 -4,4,2,2,2,20|24,2,True,baseline|hub_local
37,1 -1 1 1 1,0 3 -4 -2 0,2,2,2,2,17|21,1,True,hub_local
38,1 1 -1 1 -1,-2 -4 -4 -4 -4,36,2,2,2,18|20,2,True,hub_local|local
39,1 1 -1 1 -1,0 -4 0 -4 0,26,2,2,2,8|12,8,True,baseline|hub|hub_local
40,1 1 1 -1 1,0 -2 0 3 -4,2,2,2,2,17|21,1,True,hub_local
41,1 1 1 1 1,-2 -4 -4 -4 -4,40,2,2,2,18|20,19,True,hub_local|local
42,1 1 1 1 1,0 -4 -4 -4 -4,155,2,2,2,16|20,34,True,baseline|hub|hub_local|local
43,1 1 1 1 1,0 -4 -4 -4 0,42,2,2,2,12|16,10,True,baseline|hub_local|local
44,1 1 1 1 1,0 -4 0 -4 -4,40,2,2,2,12|16,10,True,baseline|hub_local|local
45,1 1 1 1 1,0 -2 -4 -2 -4,5,2,2,2,16|20,1,True,hub_local
46,1 1 1 1 1,0 3 -4 -4 -4,6,2,2,2,21|25,2,True,hub_local|local
47,1 1 1 1 1,0 3 -4 -4 0,4,2,2,2,17|21,2,True,hub_local|local
48,1 1 1 1 1,2 -4 -4 -4 -4,33,2,2,2,20|26,1,True,hub_local|local
49,1 1 1 1 1,2 -4 -4 -4 4,13,2,2,2,20|26,3,True,hub_local|local
50,1 1 1 1 1,2 -4 -4 7 -4,6,2,2,2,35|41,1,True,hub_local|local
51,1 1 1 1 1,2 7 -4 -4 -4,6,2,2,2,35|41,1,True,hub_local|local
52,1 1 1 1 1,4 -4 -4 -4 -4,230,2,2,2,20|24,2,True,baseline|hub|hub_local|local
53,1 1 1 1 1,6 -4 -4 -4 -4,21,3,3,3,26|28|34,3,True,hub_local|local
54,1 1 1 1 1,6 -4 -4 -4 8,13,2,2,2,40|46,3,True,hub_local|local
55,1 1 1 1 1,6 -4 -4 11 -4,6,2,2,2,61|67,1,True,hub_local|local
56,1 1 1 1 1,10 -4 -4 -4 -4,32,2,2,2,44|50,16,True,hub_local|local
57,1 1 1 1 1,10 -4 -4 -4 12,13,2,2,2,76|82,3,True,hub_local|local
58,1 1 1 1 1,10 -4 -4 15 -4,7,2,2,2,103|109,2,True,hub_local|local
