mask,features,n_features,unique_groups,deterministic_groups,D_state,A_freq
1,frob2,1,1786,376,0.21052631578947367,0.4791637186925145
2,rank,1,192,50,0.2604166666666667,0.28251025895004955
3,frob2+rank,2,2776,1018,0.36671469740634005,0.5589712749398613
4,stable_rank,1,6700,5002,0.7465671641791045,0.6960520730154238
5,frob2+stable_rank,2,6748,5064,0.7504445761707172,0.6985991226828924
6,rank+stable_rank,2,6720,5028,0.7482142857142857,0.6969010895712466
7,frob2+rank+stable_rank,3,6748,5064,0.7504445761707172,0.6985991226828924
8,singular_values,1,6752,5068,0.7505924170616114,0.6986698740625442
9,frob2+singular_values,2,6752,5068,0.7505924170616114,0.6986698740625442
10,rank+singular_values,2,6752,5068,0.7505924170616114,0.6986698740625442
11,frob2+rank+singular_values,3,6752,5068,0.7505924170616114,0.6986698740625442
12,stable_rank+singular_values,2,6752,5068,0.7505924170616114,0.6986698740625442
13,frob2+stable_rank+singular_values,3,6752,5068,0.7505924170616114,0.6986698740625442
14,rank+stable_rank+singular_values,3,6752,5068,0.7505924170616114,0.6986698740625442
15,frob2+rank+stable_rank+singular_values,4,6752,5068,0.7505924170616114,0.6986698740625442
16,out_strength_distribution,1,6222,4108,0.6602378656380585,0.7301188623178152
17,frob2+out_strength_distribution,2,6386,4324,0.6771061697463201,0.7391396632234328
18,rank+out_strength_distribution,2,6442,4394,0.6820863085998137,0.7366279892457903
19,frob2+rank+out_strength_distribution,3,6528,4506,0.6902573529411765,0.7423942266874204
20,stable_rank+out_strength_distribution,2,7636,6132,0.8030382399161865,0.7701641432007924
21,frob2+stable_rank+out_strength_distribution,3,7636,6132,0.8030382399161865,0.7701641432007924
22,rank+stable_rank+out_strength_distribution,3,7636,6132,0.8030382399161865,0.7701641432007924
23,frob2+rank+stable_rank+out_strength_distribution,4,7636,6132,0.8030382399161865,0.7701641432007924
24,singular_values+out_strength_distribution,2,7638,6134,0.8030898140874575,0.7701995188906183
25,frob2+singular_values+out_strength_distribution,3,7638,6134,0.8030898140874575,0.7701995188906183
