mask,features,n_features,unique_groups,deterministic_groups,D_state,A_freq,B_unique_DeltaW,DeltaW_compression_rate
2,rank,1,192,50,0.2604166666666667,0.28251025895004955,6,0.9976580796252927
1,frob2,1,1786,376,0.21052631578947367,0.4791637186925145,108,0.9578454332552693
3,frob2+rank,2,2776,1018,0.36671469740634005,0.5589712749398613,181,0.929352068696331
32,in_strength_distribution,1,5990,3784,0.6317195325542571,0.6986344983727183,553,0.7841530054644809
16,out_strength_distribution,1,6222,4108,0.6602378656380585,0.7301188623178152,635,0.7521467603434817
17,frob2+out_strength_distribution,2,6386,4324,0.6771061697463201,0.7391396632234328,720,0.7189695550351288
19,frob2+rank+out_strength_distribution,3,6528,4506,0.6902573529411765,0.7423942266874204,771,0.6990632318501171
35,frob2+rank+in_strength_distribution,3,7310,5646,0.7723666210670315,0.7582425357294468,1089,0.5749414519906324
48,out_strength_distribution+in_strength_distribution,2,7444,5834,0.7837184309511016,0.7634427621338616,1129,0.559328649492584
49,frob2+out_strength_distribution+in_strength_distribution,3,7448,5842,0.7843716433941997,0.763902646101599,1131,0.5585480093676816
50,rank+out_strength_distribution+in_strength_distribution,3,7488,5896,0.7873931623931624,0.7648931654167256,1164,0.5456674473067915
20,stable_rank+out_strength_distribution,2,7636,6132,0.8030382399161865,0.7701641432007924,1285,0.49843871975019516
24,singular_values+out_strength_distribution,2,7638,6134,0.8030898140874575,0.7701995188906183,1287,0.49765807962529274
64,in_out_strength_distribution,1,7776,6396,0.8225308641975309,0.7716499221734824,1358,0.4699453551912568
36,stable_rank+in_strength_distribution,2,7814,6442,0.8244177117993345,0.7754704966746852,1342,0.47619047619047616
40,singular_values+in_strength_distribution,2,7816,6444,0.8244626407369499,0.7755058723645111,1344,0.47540983606557374
68,stable_rank+in_out_strength_distribution,2,7916,6628,0.8372915613946438,0.7783359275505872,1401,0.45316159250585475
256,in_strength_vector,1,10538,9928,0.9421142531789714,0.9528795811518325,2200,0.14129586260733806
258,rank+in_strength_vector,2,10724,10284,0.958970533383066,0.9755553983302674,2365,0.07689305230288834
259,frob2+rank+in_strength_vector,3,11056,10940,0.9895079594790159,0.9942691382481958,2488,0.02888368462138957
128,out_strength_vector,1,11142,11084,0.9947944713695925,0.9946582708362813,2516,0.01795472287275568
130,rank+out_strength_vector,2,11158,11116,0.9962358845671268,0.9958964199801896,2536,0.010148321623731471
272,out_strength_distribution+in_strength_vector,2,11178,11170,0.9992843084630524,0.9997877458610442,2526,0.014051522248243575
129,frob2+out_strength_vector,2,11202,11202,1.0,1.0,2562,0.0
