mask,features,n_features,unique_groups,deterministic_groups,D_state,A_freq,B_unique_DeltaW,DeltaW_compression_rate
1,frob2,1,1786,376,0.21052631578947367,0.4791637186925145,108,0.9578454332552693
2,rank,1,192,50,0.2604166666666667,0.28251025895004955,6,0.9976580796252927
3,frob2+rank,2,2776,1018,0.36671469740634005,0.5589712749398613,181,0.929352068696331
4,stable_rank,1,6700,5002,0.7465671641791045,0.6960520730154238,1064,0.5846994535519126
5,frob2+stable_rank,2,6748,5064,0.7504445761707172,0.6985991226828924,1074,0.5807962529274004
6,rank+stable_rank,2,6720,5028,0.7482142857142857,0.6969010895712466,1068,0.5831381733021077
7,frob2+rank+stable_rank,3,6748,5064,0.7504445761707172,0.6985991226828924,1074,0.5807962529274004
8,singular_values,1,6752,5068,0.7505924170616114,0.6986698740625442,1078,0.5792349726775956
9,frob2+singular_values,2,6752,5068,0.7505924170616114,0.6986698740625442,1078,0.5792349726775956
10,rank+singular_values,2,6752,5068,0.7505924170616114,0.6986698740625442,1078,0.5792349726775956
11,frob2+rank+singular_values,3,6752,5068,0.7505924170616114,0.6986698740625442,1078,0.5792349726775956
12,stable_rank+singular_values,2,6752,5068,0.7505924170616114,0.6986698740625442,1078,0.5792349726775956
13,frob2+stable_rank+singular_values,3,6752,5068,0.7505924170616114,0.6986698740625442,1078,0.5792349726775956
14,rank+stable_rank+singular_values,3,6752,5068,0.7505924170616114,0.6986698740625442,1078,0.5792349726775956
15,frob2+rank+stable_rank+singular_values,4,6752,5068,0.7505924170616114,0.6986698740625442,1078,0.5792349726775956
16,out_strength_distribution,1,6222,4108,0.6602378656380585,0.7301188623178152,635,0.7521467603434817
17,frob2+out_strength_distribution,2,6386,4324,0.6771061697463201,0.7391396632234328,720,0.7189695550351288
18,rank+out_strength_distribution,2,6442,4394,0.6820863085998137,0.7366279892457903,717,0.7201405152224825
19,frob2+rank+out_strength_distribution,3,6528,4506,0.6902573529411765,0.7423942266874204,771,0.6990632318501171
20,stable_rank+out_strength_distribution,2,7636,6132,0.8030382399161865,0.7701641432007924,1285,0.49843871975019516
21,frob2+stable_rank+out_strength_distribution,3,7636,6132,0.8030382399161865,0.7701641432007924,1285,0.49843871975019516
22,rank+stable_rank+out_strength_distribution,3,7636,6132,0.8030382399161865,0.7701641432007924,1285,0.49843871975019516
23,frob2+rank+stable_rank+out_strength_distribution,4,7636,6132,0.8030382399161865,0.7701641432007924,1285,0.49843871975019516
24,singular_values+out_strength_distribution,2,7638,6134,0.8030898140874575,0.7701995188906183,1287,0.49765807962529274
25,frob2+singular_values+out_strength_distribution,3,7638,6134,0.8030898140874575,0.7701995188906183,1287,0.49765807962529274
26,rank+singular_values+out_strength_distribution,3,7638,6134,0.8030898140874575,0.7701995188906183,1287,0.49765807962529274
27,frob2+rank+singular_values+out_strength_distribution,4,7638,6134,0.8030898140874575,0.7701995188906183,1287,0.49765807962529274
28,stable_rank+singular_values+out_strength_distribution,3,7638,6134,0.8030898140874575,0.7701995188906183,1287,0.49765807962529274
29,frob2+stable_rank+singular_values+out_strength_distribution,4,7638,6134,0.8030898140874575,0.7701995188906183,1287,0.49765807962529274
30,rank+stable_rank+singular_values+out_strength_distribution,4,7638,6134,0.8030898140874575,0.7701995188906183,1287,0.49765807962529274
31,frob2+rank+stable_rank+singular_values+out_strength_distribution,5,7638,6134,0.8030898140874575,0.7701995188906183,1287,0.49765807962529274
32,in_strength_distribution,1,5990,3784,0.6317195325542571,0.6986344983727183,553,0.7841530054644809
33,frob2+in_strength_distribution,2,7172,5406,0.7537646402677077,0.7370878732135276,1011,0.6053864168618267
34,rank+in_strength_distribution,2,6658,4752,0.71372784620006,0.7341516909579737,766,0.7010148321623731
