future_id,n,edges,chi,lb,ub,seconds
0,44,224,7,7,7,0
1,11,8,3,3,3,0
2,8,1,2,2,2,0
3,5,0,1,1,1,0
4,1,0,1,1,1,0
6,6,0,1,1,1,0
8,2,0,1,1,1,0
9,14,0,1,1,1,0
10,1,0,1,1,1,0
11,4,1,2,2,2,0
12,5,3,2,2,2,0
13,7,0,1,1,1,0
14,2,0,1,1,1,0
15,1,0,1,1,1,0
16,3,0,1,1,1,0
18,2,0,1,1,1,0
20,1,0,1,1,1,0
21,7,3,2,2,2,0
23,7,0,1,1,1,0
24,1,0,1,1,1,0
25,1,0,1,1,1,0
27,1,0,1,1,1,0
28,1,0,1,1,1,0
29,1,0,1,1,1,0
31,1,0,1,1,1,0
32,1,0,1,1,1,0
33,1,0,1,1,1,0
34,4,2,2,2,2,0
35,1,0,1,1,1,0
36,1,0,1,1,1,0
37,1,0,1,1,1,0
38,1,0,1,1,1,0
39,1,0,1,1,1,0
40,1,0,1,1,1,0
43,1,0,1,1,1,0
47,4,0,1,1,1,0
48,1,0,1,1,1,0
51,1,0,1,1,1,0
57,1,0,1,1,1,0
59,1,0,1,1,1,0
62,3,0,1,1,1,0
70,1,0,1,1,1,0
73,10,0,1,1,1,0
74,1,0,1,1,1,0
75,1,0,1,1,1,0
82,1,0,1,1,1,0
84,2,0,1,1,1,0
86,6,4,2,2,2,0
87,14,5,3,3,3,0
88,1,0,1,1,1,0
89,3,0,1,1,1,0
93,1,0,1,1,1,0
94,1,0,1,1,1,0
96,7,0,1,1,1,0
98,1,0,1,1,1,0
100,5,1,2,2,2,0
103,2,0,1,1,1,0
106,1,0,1,1,1,0
107,2,0,1,1,1,0
110,4,1,2,2,2,0
112,1,0,1,1,1,0
114,1,0,1,1,1,0
117,1,0,1,1,1,0
118,7,0,1,1,1,0
119,1,0,1,1,1,0
120,1,0,1,1,1,0
122,9,1,2,2,2,0
123,1,0,1,1,1,0
124,1,0,1,1,1,0
125,3,0,1,1,1,0
126,1,0,1,1,1,0
127,1,0,1,1,1,0
128,1,0,1,1,1,0
131,1,0,1,1,1,0
132,1,0,1,1,1,0
135,1,0,1,1,1,0
137,1,0,1,1,1,0
138,1,0,1,1,1,0
140,1,0,1,1,1,0
142,2,0,1,1,1,0
143,1,0,1,1,1,0
144,1,0,1,1,1,0
145,1,0,1,1,1,0
146,1,0,1,1,1,0
148,1,0,1,1,1,0
149,1,0,1,1,1,0
150,5,0,1,1,1,0
151,3,0,1,1,1,0
152,2,0,1,1,1,0
153,2,0,1,1,1,0
155,1,0,1,1,1,0
160,1,0,1,1,1,0
161,2,0,1,1,1,0
162,1,0,1,1,1,0
163,1,0,1,1,1,0
165,2,0,1,1,1,0
166,1,0,1,1,1,0
168,1,0,1,1,1,0
169,1,0,1,1,1,0
173,1,0,1,1,1,0
175,1,0,1,1,1,0
177,1,0,1,1,1,0
183,1,0,1,1,1,0
184,1,0,1,1,1,0
193,1,0,1,1,1,0
194,1,0,1,1,1,0
195,1,0,1,1,1,0
199,9,4,3,3,3,0
200,2,0,1,1,1,0
202,4,0,1,1,1,0
206,3,2,2,2,2,0
210,1,0,1,1,1,0
214,1,0,1,1,1,0
215,1,0,1,1,1,0
217,2,0,1,1,1,0
219,1,0,1,1,1,0
230,1,0,1,1,1,0
232,1,0,1,1,1,0
234,1,0,1,1,1,0
237,1,0,1,1,1,0
239,1,0,1,1,1,0
249,12,1,2,2,2,0
250,3,0,1,1,1,0
253,4,1,2,2,2,0
254,1,0,1,1,1,0
257,1,0,1,1,1,0
259,5,0,1,1,1,0
264,1,0,1,1,1,0
265,1,0,1,1,1,0
267,1,0,1,1,1,0
268,1,0,1,1,1,0
270,1,0,1,1,1,0
271,1,0,1,1,1,0
273,2,0,1,1,1,0
282,2,0,1,1,1,0
284,2,0,1,1,1,0
295,6,1,2,2,2,0
296,1,0,1,1,1,0
297,3,0,1,1,1,0
300,3,0,1,1,1,0
302,2,0,1,1,1,0
304,9,4,2,2,2,0
305,8,0,1,1,1,0
306,1,0,1,1,1,0
307,2,0,1,1,1,0
308,1,0,1,1,1,0
311,7,0,1,1,1,0
313,1,0,1,1,1,0
314,1,0,1,1,1,0
315,2,0,1,1,1,0
318,1,0,1,1,1,0
324,7,0,1,1,1,0
332,1,0,1,1,1,0
333,1,0,1,1,1,0
334,1,0,1,1,1,0
341,1,0,1,1,1,0
343,4,0,1,1,1,0
344,1,0,1,1,1,0
345,1,0,1,1,1,0
347,1,0,1,1,1,0
348,1,0,1,1,1,0
351,1,0,1,1,1,0
361,1,0,1,1,1,0
365,1,0,1,1,1,0
366,1,0,1,1,1,0
367,1,0,1,1,1,0
368,1,0,1,1,1,0
370,1,0,1,1,1,0
372,1,0,1,1,1,0
374,12,10,4,4,4,0
375,6,1,2,2,2,0
376,1,0,1,1,1,0
377,2,0,1,1,1,0
378,4,0,1,1,1,0
379,2,0,1,1,1,0
381,3,0,1,1,1,0
384,7,1,2,2,2,0
385,1,0,1,1,1,0
386,2,0,1,1,1,0
387,1,0,1,1,1,0
395,9,0,1,1,1,0
397,1,0,1,1,1,0
398,1,0,1,1,1,0
399,1,0,1,1,1,0
403,2,0,1,1,1,0
404,1,0,1,1,1,0
406,1,0,1,1,1,0
407,1,0,1,1,1,0
409,1,0,1,1,1,0
415,1,0,1,1,1,0
420,1,0,1,1,1,0
425,1,0,1,1,1,0
426,1,0,1,1,1,0
427,1,0,1,1,1,0
428,1,0,1,1,1,0
429,1,0,1,1,1,0
430,1,0,1,1,1,0
431,1,0,1,1,1,0
432,1,0,1,1,1,0
437,1,0,1,1,1,0
438,1,0,1,1,1,0
440,1,0,1,1,1,0
443,2,0,1,1,1,0
447,1,0,1,1,1,0
448,1,0,1,1,1,0
450,4,2,2,2,2,0
452,1,0,1,1,1,0
453,1,0,1,1,1,0
454,2,0,1,1,1,0
456,1,0,1,1,1,0
458,2,0,1,1,1,0
462,1,0,1,1,1,0
464,1,0,1,1,1,0
466,1,0,1,1,1,0
467,1,0,1,1,1,0
469,1,0,1,1,1,0
470,1,0,1,1,1,0
471,1,0,1,1,1,0
473,1,0,1,1,1,0
475,1,0,1,1,1,0
477,1,0,1,1,1,0
480,1,0,1,1,1,0
482,1,0,1,1,1,0
483,1,0,1,1,1,0
484,1,0,1,1,1,0
487,1,0,1,1,1,0
491,1,0,1,1,1,0
494,1,0,1,1,1,0
500,5,0,1,1,1,0
501,2,0,1,1,1,0
502,2,0,1,1,1,0
503,1,0,1,1,1,0
509,2,0,1,1,1,0
511,2,0,1,1,1,0
513,1,0,1,1,1,0
516,2,0,1,1,1,0
517,1,0,1,1,1,0
521,1,0,1,1,1,0
524,1,0,1,1,1,0
527,1,0,1,1,1,0
542,1,0,1,1,1,0
546,1,0,1,1,1,0
547,1,0,1,1,1,0
548,1,0,1,1,1,0
553,5,2,2,2,2,0
555,4,1,2,2,2,0
557,2,0,1,1,1,0
558,1,0,1,1,1,0
564,1,0,1,1,1,0
566,1,0,1,1,1,0
568,1,0,1,1,1,0
576,4,1,2,2,2,0
578,6,6,4,4,4,0
581,4,2,2,2,2,0
585,1,0,1,1,1,0
586,1,0,1,1,1,0
598,1,0,1,1,1,0
602,1,0,1,1,1,0
607,1,0,1,1,1,0
617,2,0,1,1,1,0
620,4,2,2,2,2,0
623,3,0,1,1,1,0
640,1,0,1,1,1,0
641,1,0,1,1,1,0
643,1,0,1,1,1,0
645,1,0,1,1,1,0
651,1,0,1,1,1,0
658,1,0,1,1,1,0
667,5,0,1,1,1,0
668,1,0,1,1,1,0
670,2,0,1,1,1,0
671,1,0,1,1,1,0
672,3,0,1,1,1,0
673,1,0,1,1,1,0
674,1,0,1,1,1,0
677,1,0,1,1,1,0
679,2,0,1,1,1,0
693,2,0,1,1,1,0
696,5,0,1,1,1,0
697,2,1,2,2,2,0
702,2,0,1,1,1,0
703,1,0,1,1,1,0
707,1,0,1,1,1,0
708,1,0,1,1,1,0
710,2,1,2,2,2,0
714,1,0,1,1,1,0
733,3,0,1,1,1,0
734,2,0,1,1,1,0
736,2,0,1,1,1,0
737,1,0,1,1,1,0
739,3,0,1,1,1,0
743,1,0,1,1,1,0
759,5,0,1,1,1,0
760,1,0,1,1,1,0
761,3,0,1,1,1,0
762,2,0,1,1,1,0
763,1,0,1,1,1,0
764,1,0,1,1,1,0
765,3,0,1,1,1,0
766,6,0,1,1,1,0
768,3,1,2,2,2,0
777,2,0,1,1,1,0
778,3,1,2,2,2,0
781,3,0,1,1,1,0
799,1,0,1,1,1,0
807,5,3,2,2,2,0
809,1,0,1,1,1,0
810,4,3,2,2,2,0
813,3,0,1,1,1,0
818,1,0,1,1,1,0
819,4,5,3,3,3,0
824,2,0,1,1,1,0
830,2,1,2,2,2,0
831,1,0,1,1,1,0
833,1,0,1,1,1,0
840,1,0,1,1,1,0
850,2,0,1,1,1,0
860,2,0,1,1,1,0
863,3,0,1,1,1,0
875,1,0,1,1,1,0
876,5,0,1,1,1,0
878,2,0,1,1,1,0
891,1,0,1,1,1,0
900,1,0,1,1,1,0
906,1,0,1,1,1,0
907,3,1,2,2,2,0
909,2,0,1,1,1,0
918,2,0,1,1,1,0
924,1,0,1,1,1,0
927,1,0,1,1,1,0
966,1,0,1,1,1,0
972,1,0,1,1,1,0
1026,1,0,1,1,1,0
1030,1,0,1,1,1,0
1035,1,0,1,1,1,0
1039,1,0,1,1,1,0
1046,1,0,1,1,1,0
1054,12,13,3,3,3,0
1055,7,0,1,1,1,0
1056,1,0,1,1,1,0
1057,1,0,1,1,1,0
1061,7,0,1,1,1,0
1063,1,0,1,1,1,0
1064,1,0,1,1,1,0
1065,1,0,1,1,1,0
1075,7,0,1,1,1,0
1086,1,0,1,1,1,0
1087,1,0,1,1,1,0
1089,1,0,1,1,1,0
1091,1,0,1,1,1,0
1126,7,0,1,1,1,0
1157,1,0,1,1,1,0
1159,1,0,1,1,1,0
1184,1,0,1,1,1,0
1185,1,0,1,1,1,0
1187,1,0,1,1,1,0
1191,1,0,1,1,1,0
1202,1,0,1,1,1,0
1205,1,0,1,1,1,0
1206,1,0,1,1,1,0
1212,1,0,1,1,1,0
1272,5,0,1,1,1,0
1273,5,1,2,2,2,0
1274,2,0,1,1,1,0
1275,4,0,1,1,1,0
1276,2,0,1,1,1,0
1278,3,0,1,1,1,0
1279,2,0,1,1,1,0
1280,5,1,2,2,2,0
1281,2,0,1,1,1,0
1282,2,0,1,1,1,0
1284,4,0,1,1,1,0
1285,2,0,1,1,1,0
1287,3,0,1,1,1,0
1288,1,0,1,1,1,0
1290,2,0,1,1,1,0
1293,2,0,1,1,1,0
1294,1,0,1,1,1,0
1308,3,0,1,1,1,0
1309,2,0,1,1,1,0
1316,2,0,1,1,1,0
1318,14,4,2,2,2,0
1319,1,0,1,1,1,0
1320,6,1,2,2,2,0
1324,4,1,2,2,2,0
1329,12,14,3,3,3,0
1330,1,0,1,1,1,0
1332,4,0,1,1,1,0
1333,1,0,1,1,1,0
1339,3,0,1,1,1,0
1340,1,0,1,1,1,0
1345,1,0,1,1,1,0
1347,1,0,1,1,1,0
1353,3,0,1,1,1,0
1354,1,0,1,1,1,0
1355,2,0,1,1,1,0
1356,1,0,1,1,1,0
1359,1,0,1,1,1,0
1372,5,0,1,1,1,0
1374,5,4,3,3,3,0
1378,1,0,1,1,1,0
1379,1,0,1,1,1,0
1384,1,0,1,1,1,0
1385,1,0,1,1,1,0
1392,1,0,1,1,1,0
1406,1,0,1,1,1,0
1407,1,0,1,1,1,0
1409,1,0,1,1,1,0
1413,1,0,1,1,1,0
1445,1,0,1,1,1,0
1475,1,0,1,1,1,0
1478,2,0,1,1,1,0
1479,1,0,1,1,1,0
1484,2,0,1,1,1,0
1488,1,0,1,1,1,0
1489,1,0,1,1,1,0
1491,2,0,1,1,1,0
1497,1,0,1,1,1,0
1502,1,0,1,1,1,0
1504,1,0,1,1,1,0
1535,1,0,1,1,1,0
1541,1,0,1,1,1,0
1542,1,0,1,1,1,0
1543,1,0,1,1,1,0
1546,1,0,1,1,1,0
1547,1,0,1,1,1,0
1549,1,0,1,1,1,0
1554,1,0,1,1,1,0
1557,1,0,1,1,1,0
1566,1,0,1,1,1,0
1584,1,0,1,1,1,0
1632,6,4,2,2,2,0
1633,1,0,1,1,1,0
1634,1,0,1,1,1,0
1635,1,0,1,1,1,0
1636,1,0,1,1,1,0
1638,2,0,1,1,1,0
1639,1,0,1,1,1,0
1642,1,0,1,1,1,0
1644,1,0,1,1,1,0
1647,1,0,1,1,1,0
1651,1,0,1,1,1,0
1652,1,0,1,1,1,0
1655,1,0,1,1,1,0
1661,1,0,1,1,1,0
1667,1,0,1,1,1,0
1672,1,0,1,1,1,0
1675,1,0,1,1,1,0
1676,1,0,1,1,1,0
1679,1,0,1,1,1,0
1685,1,0,1,1,1,0
1695,1,0,1,1,1,0
1703,1,0,1,1,1,0
1706,1,0,1,1,1,0
1713,1,0,1,1,1,0
1715,1,0,1,1,1,0
1717,1,0,1,1,1,0
1725,5,0,1,1,1,0
1726,1,0,1,1,1,0
1727,1,0,1,1,1,0
1728,1,0,1,1,1,0
1729,1,0,1,1,1,0
1730,1,0,1,1,1,0
1732,1,0,1,1,1,0
1733,1,0,1,1,1,0
1734,1,0,1,1,1,0
1735,1,0,1,1,1,0
1737,1,0,1,1,1,0
1738,1,0,1,1,1,0
1739,1,0,1,1,1,0
1741,1,0,1,1,1,0
1743,1,0,1,1,1,0
1745,1,0,1,1,1,0
1746,1,0,1,1,1,0
1748,1,0,1,1,1,0
1751,1,0,1,1,1,0
1756,1,0,1,1,1,0
1757,1,0,1,1,1,0
1763,1,0,1,1,1,0
1764,1,0,1,1,1,0
1790,1,0,1,1,1,0
1791,1,0,1,1,1,0
1796,1,0,1,1,1,0
1798,2,0,1,1,1,0
1799,2,0,1,1,1,0
1801,2,0,1,1,1,0
1802,3,0,1,1,1,0
1804,3,1,2,2,2,0
1806,3,0,1,1,1,0
1810,2,1,2,2,2,0
1813,2,0,1,1,1,0
1816,1,0,1,1,1,0
1834,1,0,1,1,1,0
1835,2,0,1,1,1,0
1836,2,0,1,1,1,0
1838,1,0,1,1,1,0
1839,1,0,1,1,1,0
1841,1,0,1,1,1,0
1851,2,0,1,1,1,0
1853,2,0,1,1,1,0
1856,2,0,1,1,1,0
1886,1,0,1,1,1,0
1887,2,1,2,2,2,0
1888,1,0,1,1,1,0
1892,1,0,1,1,1,0
1893,1,0,1,1,1,0
1895,2,0,1,1,1,0
1904,1,0,1,1,1,0
1906,1,0,1,1,1,0
1909,2,0,1,1,1,0
1947,1,0,1,1,1,0
1964,1,0,1,1,1,0
1965,1,0,1,1,1,0
1966,1,0,1,1,1,0
1967,1,0,1,1,1,0
1969,1,0,1,1,1,0
1989,1,0,1,1,1,0
2040,1,0,1,1,1,0
2068,1,0,1,1,1,0
2111,2,0,1,1,1,0
2112,1,0,1,1,1,0
2113,1,0,1,1,1,0
2120,1,0,1,1,1,0
2121,1,0,1,1,1,0
2133,1,0,1,1,1,0
2138,1,0,1,1,1,0
2140,16,0,1,1,1,0
2141,1,0,1,1,1,0
2142,1,0,1,1,1,0
