field_id,color_class,deltaW
0,22,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
1,80,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0
2,20,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0
3,177,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;2 2 2 2 0
4,395,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;3 3 3 3 0
5,450,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;4 4 4 4 0
6,75,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;-1 -1 -1 -1 0
7,24,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;0 0 0 0 0
8,130,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;1 1 1 1 0
9,89,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 1;-1 -1 -1 -1 0
10,64,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 1;0 0 0 0 0
11,273,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 2;-1 -1 -1 -1 0
12,232,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 0;-1 -1 -1 -1 0
13,24,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 0;0 0 0 0 0
14,81,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 0;1 1 1 1 0
15,177,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 0;2 2 2 2 0
16,89,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 1;-1 -1 -1 -1 0
17,27,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 1;0 0 0 0 0
18,94,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 1;1 1 1 1 0
19,320,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 1;2 2 2 2 0
20,273,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 2;0 0 0 0 0
21,153,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 3;-1 -1 -1 -1 0
22,171,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 3;0 0 0 0 0
23,12,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 1;-1 -1 -1 -1 0
24,217,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 1;0 0 0 0 0
25,63,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 1;1 1 1 1 0
26,654,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 1;2 2 2 2 0
27,408,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 1;3 3 3 3 0
28,165,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 2;-1 -1 -1 -1 0
29,276,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 2;0 0 0 0 0
30,655,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 2;2 2 2 2 0
31,150,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 3;-1 -1 -1 -1 0
32,150,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 3;0 0 0 0 0
33,264,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 3;1 1 1 1 0
34,100,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0
35,96,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;0 0 0 0 0
36,222,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 2;-1 -1 -1 -1 0
37,222,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 2;0 0 0 0 0
38,409,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 2;1 1 1 1 0
39,37,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 2;2 2 2 2 0
40,410,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 2;4 4 4 4 0
41,451,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 3;-1 -1 -1 -1 0
42,26,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 3;0 0 0 0 0
43,411,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 3;1 1 1 1 0
