chi,action_id,action,plus,magnetization,groups,total_edges,mean_edges
2,1,-1 -1 -1 -1 1,1,-3,7,9,1.2857142857142858
2,2,-1 -1 -1 1 -1,1,-3,1,1,1.0
2,3,-1 -1 -1 1 1,2,-1,7,8,1.1428571428571428
2,4,-1 -1 1 -1 -1,1,-3,7,9,1.2857142857142858
2,5,-1 -1 1 -1 1,2,-1,6,7,1.1666666666666667
2,6,-1 -1 1 1 -1,2,-1,4,4,1.0
2,7,-1 -1 1 1 1,3,1,7,10,1.4285714285714286
2,8,-1 1 -1 -1 -1,1,-3,1,1,1.0
2,9,-1 1 -1 -1 1,2,-1,4,4,1.0
2,10,-1 1 -1 1 -1,2,-1,2,2,1.0
2,11,-1 1 -1 1 1,3,1,2,2,1.0
2,12,-1 1 1 -1 -1,2,-1,3,3,1.0
2,13,-1 1 1 -1 1,3,1,5,6,1.2
2,14,-1 1 1 1 -1,3,1,3,3,1.0
2,15,-1 1 1 1 1,4,3,5,7,1.4
2,16,1 -1 -1 -1 -1,1,-3,5,7,1.4
2,17,1 -1 -1 -1 1,2,-1,3,3,1.0
2,18,1 -1 -1 1 -1,2,-1,5,6,1.2
2,19,1 -1 -1 1 1,3,1,3,3,1.0
2,20,1 -1 1 -1 -1,2,-1,2,2,1.0
2,21,1 -1 1 -1 1,3,1,2,2,1.0
2,22,1 -1 1 1 -1,3,1,4,4,1.0
2,23,1 -1 1 1 1,4,3,1,1,1.0
2,24,1 1 -1 -1 -1,2,-1,7,10,1.4285714285714286
2,25,1 1 -1 -1 1,3,1,4,4,1.0
2,26,1 1 -1 1 -1,3,1,6,7,1.1666666666666667
2,27,1 1 -1 1 1,4,3,7,9,1.2857142857142858
2,28,1 1 1 -1 -1,3,1,7,8,1.1428571428571428
2,29,1 1 1 -1 1,4,3,1,1,1.0
2,30,1 1 1 1 -1,4,3,7,9,1.2857142857142858
3,1,-1 -1 -1 -1 1,1,-3,3,7,2.3333333333333335
3,2,-1 -1 -1 1 -1,1,-3,1,4,4.0
3,3,-1 -1 -1 1 1,2,-1,3,4,1.3333333333333333
3,4,-1 -1 1 -1 -1,1,-3,3,10,3.3333333333333335
3,5,-1 -1 1 -1 1,2,-1,3,7,2.3333333333333335
3,6,-1 -1 1 1 -1,2,-1,2,7,3.5
3,7,-1 -1 1 1 1,3,1,2,7,3.5
3,8,-1 1 -1 -1 -1,1,-3,2,9,4.5
3,9,-1 1 -1 -1 1,2,-1,2,6,3.0
3,10,-1 1 -1 1 -1,2,-1,1,2,2.0
3,11,-1 1 -1 1 1,3,1,4,10,2.5
3,12,-1 1 1 -1 -1,2,-1,3,5,1.6666666666666667
3,13,-1 1 1 -1 1,3,1,1,4,4.0
3,14,-1 1 1 1 -1,3,1,2,5,2.5
3,15,-1 1 1 1 1,4,3,2,6,3.0
3,16,1 -1 -1 -1 -1,1,-3,2,6,3.0
3,17,1 -1 -1 -1 1,2,-1,2,5,2.5
3,18,1 -1 -1 1 -1,2,-1,1,4,4.0
3,19,1 -1 -1 1 1,3,1,3,5,1.6666666666666667
3,20,1 -1 1 -1 -1,2,-1,4,10,2.5
3,21,1 -1 1 -1 1,3,1,1,2,2.0
3,22,1 -1 1 1 -1,3,1,2,6,3.0
3,23,1 -1 1 1 1,4,3,2,9,4.5
3,24,1 1 -1 -1 -1,2,-1,2,7,3.5
3,25,1 1 -1 -1 1,3,1,2,7,3.5
3,26,1 1 -1 1 -1,3,1,3,7,2.3333333333333335
3,27,1 1 -1 1 1,4,3,3,10,3.3333333333333335
3,28,1 1 1 -1 -1,3,1,3,4,1.3333333333333333
3,29,1 1 1 -1 1,4,3,1,4,4.0
