future_id,chi,n,edges,omega,chi_eq_omega,bipartite,triangles,max_clique_vertex_ids
0,7,44,224,7,True,False,450,0 807 199 553 1144 1126 1055
1,3,11,8,3,True,False,2,2 8 88
2,2,8,1,2,True,True,0,3 89
11,2,4,1,2,True,True,0,21 100
12,2,5,3,2,True,True,0,23 24
21,2,7,3,2,True,True,0,34 105
34,2,4,2,2,True,True,0,107 47
86,2,6,4,2,True,True,0,122 123
87,3,14,5,3,True,False,2,124 1087 602
100,2,5,1,2,True,True,0,138 607
110,2,4,1,2,True,True,0,142 239
122,2,9,1,2,True,True,0,150 151
199,3,9,4,3,True,False,1,351 249 1159
206,2,3,2,2,True,True,0,1163 259
249,2,12,1,2,True,True,0,365 366
253,2,4,1,2,True,True,0,909 913
295,2,6,1,2,True,True,0,374 375
304,2,9,4,2,True,True,0,415 395
374,4,12,10,4,True,False,6,451 450 466 643
375,2,6,1,2,True,True,0,452 645
384,2,7,1,2,True,True,0,464 651
450,2,4,2,2,True,True,0,501 500
553,2,5,2,2,True,True,0,667 674
555,2,4,1,2,True,True,0,670 677
576,2,4,1,2,True,True,0,693 708
578,4,6,6,4,True,False,4,696 697 710 732
581,2,4,2,2,True,True,0,1217 714
620,2,4,2,2,True,True,0,1224 737
697,2,2,1,2,True,True,0,782 1254
710,2,2,1,2,True,True,0,787 1246
768,2,3,1,2,True,True,0,1291 1298
778,2,3,1,2,True,True,0,1310 1311
807,2,5,3,2,True,True,0,1320 1321
810,2,4,3,2,True,True,0,1344 1325
819,3,4,5,3,True,False,2,1332 1569 1331
830,2,2,1,2,True,True,0,1355 1576
907,2,3,1,2,True,True,0,1480 1481
1054,3,12,13,3,True,False,3,1634 1641 1687
1273,2,5,1,2,True,True,0,1729 1748
1280,2,5,1,2,True,True,0,1739 1759
1318,2,14,4,2,True,True,0,1966 2070
1320,2,6,1,2,True,True,0,1838 2013
1324,2,4,1,2,True,True,0,1825 1971
1329,3,12,14,3,True,False,4,1979 1855 1856
1374,3,5,4,3,True,False,1,1891 1901 2046
1632,2,6,4,2,True,True,0,2142 2143
1804,2,3,1,2,True,True,0,2219 2233
1810,2,2,1,2,True,True,0,2237 2238
1887,2,2,1,2,True,True,0,2299 2300
2208,3,6,3,3,True,False,1,2429 2439 2478
