future_id,chi,action_id,action,plus,magnetization,observed_vertices,distinct_futures,conflict_edges,new_edges_in_action_order
0,7,1,-1 -1 -1 -1 1,1,-3,11,2,30,30
0,7,2,-1 -1 -1 1 -1,1,-3,11,3,36,30
0,7,3,-1 -1 -1 1 1,2,-1,6,3,9,7
0,7,4,-1 -1 1 -1 -1,1,-3,12,3,39,27
0,7,5,-1 -1 1 -1 1,2,-1,12,4,45,37
0,7,6,-1 -1 1 1 -1,2,-1,7,3,11,4
0,7,7,-1 -1 1 1 1,3,1,6,2,8,6
0,7,8,-1 1 -1 -1 -1,1,-3,9,3,20,12
0,7,9,-1 1 -1 -1 1,2,-1,9,4,25,12
0,7,10,-1 1 -1 1 -1,2,-1,9,4,28,15
0,7,11,-1 1 -1 1 1,3,1,6,3,11,7
0,7,12,-1 1 1 -1 -1,2,-1,7,3,11,6
0,7,13,-1 1 1 -1 1,3,1,7,2,10,5
0,7,14,-1 1 1 1 -1,3,1,6,2,8,2
0,7,15,-1 1 1 1 1,4,3,11,4,38,24
0,7,16,1 -1 -1 -1 -1,1,-3,11,4,38,0
0,7,17,1 -1 -1 -1 1,2,-1,6,2,8,0
0,7,18,1 -1 -1 1 -1,2,-1,7,2,10,0
0,7,19,1 -1 -1 1 1,3,1,7,3,11,0
0,7,20,1 -1 1 -1 -1,2,-1,6,3,11,0
0,7,21,1 -1 1 -1 1,3,1,9,4,28,0
0,7,22,1 -1 1 1 -1,3,1,9,4,25,0
0,7,23,1 -1 1 1 1,4,3,9,3,20,0
0,7,24,1 1 -1 -1 -1,2,-1,6,2,8,0
0,7,25,1 1 -1 -1 1,3,1,7,3,11,0
0,7,26,1 1 -1 1 -1,3,1,12,4,45,0
0,7,27,1 1 -1 1 1,4,3,12,3,39,0
0,7,28,1 1 1 -1 -1,3,1,6,3,9,0
0,7,29,1 1 1 -1 1,4,3,11,3,36,0
0,7,30,1 1 1 1 -1,4,3,11,2,30,0
1,3,3,-1 -1 -1 1 1,2,-1,2,2,1,1
1,3,4,-1 -1 1 -1 -1,1,-3,4,2,3,3
1,3,5,-1 -1 1 -1 1,2,-1,3,2,2,2
1,3,11,-1 1 -1 1 1,3,1,2,2,1,1
1,3,14,-1 1 1 1 -1,3,1,2,2,1,1
1,3,15,-1 1 1 1 1,4,3,2,2,1,0
1,3,16,1 -1 -1 -1 -1,1,-3,2,2,1,0
1,3,17,1 -1 -1 -1 1,2,-1,2,2,1,0
1,3,20,1 -1 1 -1 -1,2,-1,2,2,1,0
1,3,26,1 1 -1 1 -1,3,1,3,2,2,0
1,3,27,1 1 -1 1 1,4,3,4,2,3,0
1,3,28,1 1 1 -1 -1,3,1,2,2,1,0
2,2,4,-1 -1 1 -1 -1,1,-3,2,2,1,1
2,2,5,-1 -1 1 -1 1,2,-1,2,2,1,0
2,2,26,1 1 -1 1 -1,3,1,2,2,1,0
2,2,27,1 1 -1 1 1,4,3,2,2,1,0
11,2,6,-1 -1 1 1 -1,2,-1,2,2,1,1
11,2,25,1 1 -1 -1 1,3,1,2,2,1,0
12,2,3,-1 -1 -1 1 1,2,-1,2,2,1,1
12,2,4,-1 -1 1 -1 -1,1,-3,2,2,1,1
12,2,13,-1 1 1 -1 1,3,1,2,2,1,1
12,2,15,-1 1 1 1 1,4,3,2,2,1,0
12,2,16,1 -1 -1 -1 -1,1,-3,2,2,1,0
12,2,18,1 -1 -1 1 -1,2,-1,2,2,1,0
12,2,27,1 1 -1 1 1,4,3,2,2,1,0
12,2,28,1 1 1 -1 -1,3,1,2,2,1,0
21,2,4,-1 -1 1 -1 -1,1,-3,2,2,1,1
21,2,7,-1 -1 1 1 1,3,1,3,2,2,2
21,2,24,1 1 -1 -1 -1,2,-1,3,2,2,0
21,2,27,1 1 -1 1 1,4,3,2,2,1,0
34,2,4,-1 -1 1 -1 -1,1,-3,3,2,2,2
34,2,6,-1 -1 1 1 -1,2,-1,2,2,1,0
34,2,25,1 1 -1 -1 1,3,1,2,2,1,0
34,2,27,1 1 -1 1 1,4,3,3,2,2,0
86,2,1,-1 -1 -1 -1 1,1,-3,2,2,1,1
86,2,5,-1 -1 1 -1 1,2,-1,2,2,1,1
86,2,6,-1 -1 1 1 -1,2,-1,2,2,1,1
86,2,15,-1 1 1 1 1,4,3,2,2,1,1
86,2,16,1 -1 -1 -1 -1,1,-3,2,2,1,0
86,2,25,1 1 -1 -1 1,3,1,2,2,1,0
86,2,26,1 1 -1 1 -1,3,1,2,2,1,0
86,2,30,1 1 1 1 -1,4,3,2,2,1,0
87,3,15,-1 1 1 1 1,4,3,4,3,5,5
87,3,16,1 -1 -1 -1 -1,1,-3,4,3,5,0
100,2,7,-1 -1 1 1 1,3,1,2,2,1,1
100,2,24,1 1 -1 -1 -1,2,-1,2,2,1,0
110,2,12,-1 1 1 -1 -1,2,-1,2,2,1,1
110,2,19,1 -1 -1 1 1,3,1,2,2,1,0
122,2,1,-1 -1 -1 -1 1,1,-3,2,2,1,1
122,2,5,-1 -1 1 -1 1,2,-1,2,2,1,0
122,2,26,1 1 -1 1 -1,3,1,2,2,1,0
122,2,30,1 1 1 1 -1,4,3,2,2,1,0
199,3,5,-1 -1 1 -1 1,2,-1,3,3,3,3
199,3,12,-1 1 1 -1 -1,2,-1,2,2,1,1
199,3,19,1 -1 -1 1 1,3,1,2,2,1,0
199,3,26,1 1 -1 1 -1,3,1,3,3,3,0
206,2,7,-1 -1 1 1 1,3,1,3,2,2,2
206,2,24,1 1 -1 -1 -1,2,-1,3,2,2,0
249,2,9,-1 1 -1 -1 1,2,-1,2,2,1,1
249,2,22,1 -1 1 1 -1,3,1,2,2,1,0
253,2,3,-1 -1 -1 1 1,2,-1,2,2,1,1
253,2,28,1 1 1 -1 -1,3,1,2,2,1,0
295,2,9,-1 1 -1 -1 1,2,-1,2,2,1,1
295,2,22,1 -1 1 1 -1,3,1,2,2,1,0
304,2,12,-1 1 1 -1 -1,2,-1,2,2,1,1
304,2,15,-1 1 1 1 1,4,3,4,2,3,3
304,2,16,1 -1 -1 -1 -1,1,-3,4,2,3,0
304,2,19,1 -1 -1 1 1,3,1,2,2,1,0
374,4,1,-1 -1 -1 -1 1,1,-3,3,2,2,2
374,4,12,-1 1 1 -1 -1,2,-1,5,2,4,4
374,4,13,-1 1 1 -1 1,3,1,4,2,4,4
374,4,18,1 -1 -1 1 -1,2,-1,4,2,4,0
374,4,19,1 -1 -1 1 1,3,1,5,2,4,0
374,4,30,1 1 1 1 -1,4,3,3,2,2,0
375,2,13,-1 1 1 -1 1,3,1,2,2,1,1
375,2,18,1 -1 -1 1 -1,2,-1,2,2,1,0
384,2,11,-1 1 -1 1 1,3,1,2,2,1,1
384,2,14,-1 1 1 1 -1,3,1,2,2,1,0
384,2,17,1 -1 -1 -1 1,2,-1,2,2,1,0
384,2,20,1 -1 1 -1 -1,2,-1,2,2,1,0
450,2,1,-1 -1 -1 -1 1,1,-3,3,2,2,2
450,2,9,-1 1 -1 -1 1,2,-1,2,2,1,0
450,2,22,1 -1 1 1 -1,3,1,2,2,1,0
450,2,30,1 1 1 1 -1,4,3,3,2,2,0
553,2,5,-1 -1 1 -1 1,2,-1,3,2,2,2
553,2,26,1 1 -1 1 -1,3,1,3,2,2,0
555,2,5,-1 -1 1 -1 1,2,-1,2,2,1,1
555,2,26,1 1 -1 1 -1,3,1,2,2,1,0
576,2,5,-1 -1 1 -1 1,2,-1,2,2,1,1
576,2,26,1 1 -1 1 -1,3,1,2,2,1,0
578,4,5,-1 -1 1 -1 1,2,-1,4,4,6,6
578,4,26,1 1 -1 1 -1,3,1,4,4,6,0
581,2,4,-1 -1 1 -1 -1,1,-3,3,2,2,2
581,2,27,1 1 -1 1 1,4,3,3,2,2,0
620,2,1,-1 -1 -1 -1 1,1,-3,3,2,2,2
620,2,30,1 1 1 1 -1,4,3,3,2,2,0
697,2,7,-1 -1 1 1 1,3,1,2,2,1,1
697,2,24,1 1 -1 -1 -1,2,-1,2,2,1,0
710,2,13,-1 1 1 -1 1,3,1,2,2,1,1
710,2,18,1 -1 -1 1 -1,2,-1,2,2,1,0
768,2,12,-1 1 1 -1 -1,2,-1,2,2,1,1
768,2,19,1 -1 -1 1 1,3,1,2,2,1,0
778,2,3,-1 -1 -1 1 1,2,-1,2,2,1,1
778,2,28,1 1 1 -1 -1,3,1,2,2,1,0
807,2,1,-1 -1 -1 -1 1,1,-3,2,2,1,1
807,2,7,-1 -1 1 1 1,3,1,2,2,1,1
807,2,15,-1 1 1 1 1,4,3,2,2,1,1
807,2,16,1 -1 -1 -1 -1,1,-3,2,2,1,0
807,2,24,1 1 -1 -1 -1,2,-1,2,2,1,0
807,2,30,1 1 1 1 -1,4,3,2,2,1,0
810,2,3,-1 -1 -1 1 1,2,-1,2,2,1,1
810,2,13,-1 1 1 -1 1,3,1,3,2,2,2
810,2,18,1 -1 -1 1 -1,2,-1,3,2,2,0
810,2,28,1 1 1 -1 -1,3,1,2,2,1,0
819,3,1,-1 -1 -1 -1 1,1,-3,2,2,1,1
819,3,3,-1 -1 -1 1 1,2,-1,2,2,1,1
819,3,9,-1 1 -1 -1 1,2,-1,4,2,4,2
819,3,11,-1 1 -1 1 1,3,1,3,2,2,1
819,3,20,1 -1 1 -1 -1,2,-1,3,2,2,0
819,3,22,1 -1 1 1 -1,3,1,4,2,4,0
819,3,28,1 1 1 -1 -1,3,1,2,2,1,0
819,3,30,1 1 1 1 -1,4,3,2,2,1,0
830,2,14,-1 1 1 1 -1,3,1,2,2,1,1
830,2,17,1 -1 -1 -1 1,2,-1,2,2,1,0
907,2,3,-1 -1 -1 1 1,2,-1,2,2,1,1
907,2,9,-1 1 -1 -1 1,2,-1,2,2,1,0
907,2,22,1 -1 1 1 -1,3,1,2,2,1,0
907,2,28,1 1 1 -1 -1,3,1,2,2,1,0
1054,3,1,-1 -1 -1 -1 1,1,-3,5,2,4,4
1054,3,2,-1 -1 -1 1 -1,1,-3,5,2,4,3
1054,3,3,-1 -1 -1 1 1,2,-1,3,2,2,1
1054,3,4,-1 -1 1 -1 -1,1,-3,5,2,4,2
1054,3,5,-1 -1 1 -1 1,2,-1,3,2,2,1
1054,3,6,-1 -1 1 1 -1,2,-1,3,2,2,1
1054,3,7,-1 -1 1 1 1,3,1,5,2,4,1
1054,3,8,-1 1 -1 -1 -1,1,-3,5,2,4,0
1054,3,9,-1 1 -1 -1 1,2,-1,3,2,2,0
1054,3,10,-1 1 -1 1 -1,2,-1,3,2,2,0
1054,3,11,-1 1 -1 1 1,3,1,5,2,4,0
1054,3,12,-1 1 1 -1 -1,2,-1,3,2,2,0
1054,3,13,-1 1 1 -1 1,3,1,5,2,4,0
1054,3,14,-1 1 1 1 -1,3,1,5,2,4,0
1054,3,17,1 -1 -1 -1 1,2,-1,5,2,4,0
1054,3,18,1 -1 -1 1 -1,2,-1,5,2,4,0
1054,3,19,1 -1 -1 1 1,3,1,3,2,2,0
1054,3,20,1 -1 1 -1 -1,2,-1,5,2,4,0
1054,3,21,1 -1 1 -1 1,3,1,3,2,2,0
1054,3,22,1 -1 1 1 -1,3,1,3,2,2,0
1054,3,23,1 -1 1 1 1,4,3,5,2,4,0
1054,3,24,1 1 -1 -1 -1,2,-1,5,2,4,0
1054,3,25,1 1 -1 -1 1,3,1,3,2,2,0
1054,3,26,1 1 -1 1 -1,3,1,3,2,2,0
1054,3,27,1 1 -1 1 1,4,3,5,2,4,0
1054,3,28,1 1 1 -1 -1,3,1,3,2,2,0
1054,3,29,1 1 1 -1 1,4,3,5,2,4,0
1054,3,30,1 1 1 1 -1,4,3,5,2,4,0
1273,2,10,-1 1 -1 1 -1,2,-1,2,2,1,1
1273,2,21,1 -1 1 -1 1,3,1,2,2,1,0
1280,2,10,-1 1 -1 1 -1,2,-1,2,2,1,1
1280,2,21,1 -1 1 -1 1,3,1,2,2,1,0
1318,2,3,-1 -1 -1 1 1,2,-1,3,2,2,2
1318,2,7,-1 -1 1 1 1,3,1,3,2,2,2
1318,2,24,1 1 -1 -1 -1,2,-1,3,2,2,0
1318,2,28,1 1 1 -1 -1,3,1,3,2,2,0
1320,2,4,-1 -1 1 -1 -1,1,-3,2,2,1,1
1320,2,27,1 1 -1 1 1,4,3,2,2,1,0
1324,2,15,-1 1 1 1 1,4,3,2,2,1,1
1324,2,16,1 -1 -1 -1 -1,1,-3,2,2,1,0
1329,3,1,-1 -1 -1 -1 1,1,-3,3,2,2,2
1329,3,6,-1 -1 1 1 -1,2,-1,6,2,5,5
1329,3,8,-1 1 -1 -1 -1,1,-3,4,3,5,5
1329,3,12,-1 1 1 -1 -1,2,-1,3,2,2,2
1329,3,19,1 -1 -1 1 1,3,1,3,2,2,0
1329,3,23,1 -1 1 1 1,4,3,4,3,5,0
1329,3,25,1 1 -1 -1 1,3,1,6,2,5,0
1329,3,30,1 1 1 1 -1,4,3,3,2,2,0
1374,3,4,-1 -1 1 -1 -1,1,-3,4,2,3,3
1374,3,11,-1 1 -1 1 1,3,1,3,3,3,1
1374,3,20,1 -1 1 -1 -1,2,-1,3,3,3,0
1374,3,27,1 1 -1 1 1,4,3,4,2,3,0
1632,2,1,-1 -1 -1 -1 1,1,-3,2,2,1,1
1632,2,2,-1 -1 -1 1 -1,1,-3,2,2,1,1
1632,2,4,-1 -1 1 -1 -1,1,-3,2,2,1,1
1632,2,7,-1 -1 1 1 1,3,1,2,2,1,1
1632,2,8,-1 1 -1 -1 -1,1,-3,2,2,1,0
1632,2,11,-1 1 -1 1 1,3,1,2,2,1,0
1632,2,13,-1 1 1 -1 1,3,1,2,2,1,0
1632,2,14,-1 1 1 1 -1,3,1,2,2,1,0
1632,2,17,1 -1 -1 -1 1,2,-1,2,2,1,0
1632,2,18,1 -1 -1 1 -1,2,-1,2,2,1,0
1632,2,20,1 -1 1 -1 -1,2,-1,2,2,1,0
1632,2,23,1 -1 1 1 1,4,3,2,2,1,0
1632,2,24,1 1 -1 -1 -1,2,-1,2,2,1,0
1632,2,27,1 1 -1 1 1,4,3,2,2,1,0
1632,2,29,1 1 1 -1 1,4,3,2,2,1,0
1632,2,30,1 1 1 1 -1,4,3,2,2,1,0
1804,2,6,-1 -1 1 1 -1,2,-1,2,2,1,1
1804,2,25,1 1 -1 -1 1,3,1,2,2,1,0
1810,2,1,-1 -1 -1 -1 1,1,-3,2,2,1,1
1810,2,30,1 1 1 1 -1,4,3,2,2,1,0
1887,2,3,-1 -1 -1 1 1,2,-1,2,2,1,1
1887,2,28,1 1 1 -1 -1,3,1,2,2,1,0
2208,3,7,-1 -1 1 1 1,3,1,3,3,3,3
2208,3,24,1 1 -1 -1 -1,2,-1,3,3,3,0
