future_id,chi,n,edges,anchor_neg,anchor_zero,anchor_pos,anchor_sum,anchor_abs_sum,anchor_asym_l1,anchor_distinct,conflicting_actions,max_action_edges,edge_union_check
0,7,44,224,20,0,0,-20,20,0,1,30,45,224
1,3,11,8,16,4,0,-16,16,4,2,12,3,8
2,2,8,1,16,0,4,-12,20,8,2,4,1,1
11,2,4,1,19,0,1,-17,21,3,2,2,1,1
12,2,5,3,16,4,0,-16,16,4,2,8,1,3
21,2,7,3,16,3,1,-13,19,7,3,4,2,3
34,2,4,2,16,0,4,-9,23,11,3,4,2,2
86,2,6,4,16,4,0,-16,16,4,2,8,1,4
87,3,14,5,12,8,0,-12,12,6,2,2,5,5
100,2,5,1,12,7,1,-9,15,9,3,2,1,1
110,2,4,1,16,3,1,-15,17,5,3,2,1,1
122,2,9,1,16,0,4,-12,20,8,2,4,1,1
199,3,9,4,19,1,0,-19,19,1,2,4,3,4
206,2,3,2,18,1,1,-16,20,4,3,2,2,2
249,2,12,1,19,0,1,-18,20,2,2,2,1,1
253,2,4,1,18,0,2,-16,20,4,2,2,1,1
295,2,6,1,19,0,1,-17,21,3,2,2,1,1
304,2,9,4,16,4,0,-16,16,4,2,4,3,4
374,4,12,10,16,3,1,-13,19,7,3,6,4,10
375,2,6,1,12,7,1,-9,15,9,3,2,1,1
384,2,7,1,12,6,2,-6,18,12,3,4,1,1
450,2,4,2,16,0,4,-9,23,11,3,4,2,2
553,2,5,2,18,2,0,-18,18,2,2,2,2,2
555,2,4,1,17,3,0,-17,17,3,2,2,1,1
576,2,4,1,17,3,0,-17,17,3,2,2,1,1
578,4,6,6,16,4,0,-16,16,4,2,2,6,6
581,2,4,2,16,3,1,-14,18,6,3,2,2,2
620,2,4,2,16,3,1,-14,18,6,3,2,2,2
697,2,2,1,12,4,4,-8,16,8,3,2,1,1
710,2,2,1,12,4,4,-8,16,8,3,2,1,1
768,2,3,1,16,1,3,-10,22,10,3,2,1,1
778,2,3,1,16,1,3,-10,22,10,3,2,1,1
807,2,5,3,19,1,0,-19,19,1,2,6,1,3
810,2,4,3,18,2,0,-18,18,2,2,4,2,3
819,3,4,5,18,2,0,-18,18,2,2,8,4,5
830,2,2,1,18,1,1,-16,20,4,3,2,1,1
907,2,3,1,17,2,1,-15,19,5,3,4,1,1
1054,3,12,13,16,4,0,-16,16,4,2,28,4,13
1273,2,5,1,12,6,2,-6,18,12,3,2,1,1
1280,2,5,1,12,6,2,-6,18,12,3,2,1,1
1318,2,14,4,19,0,1,-18,20,2,2,4,2,4
1320,2,6,1,18,0,2,-16,20,4,2,2,1,1
1324,2,4,1,15,3,2,-11,19,9,4,2,1,1
1329,3,12,14,18,0,2,-16,20,4,2,8,5,14
1374,3,5,4,17,0,3,-14,20,6,2,4,3,4
1632,2,6,4,16,0,4,-12,20,8,2,16,1,4
1804,2,3,1,17,2,1,-15,19,5,3,2,1,1
1810,2,2,1,18,0,2,-14,22,6,2,2,1,1
1887,2,2,1,17,1,2,-13,21,7,3,2,1,1
2208,3,6,3,16,3,1,-13,19,7,3,2,3,3
