future_id,chi,vertex_id,field_neg,field_zero,field_pos,field_sum,field_abs_sum,field_asym_l1,field_distinct,observed_actions,distinct_next_futures
0,7,0,20,0,0,-20,20,0,1,32,16
0,7,1,16,4,0,-16,16,4,2,14,7
0,7,6,19,1,0,-19,19,1,2,8,4
0,7,12,16,4,0,-16,16,4,2,8,4
0,7,13,12,8,0,-12,12,6,2,8,4
0,7,62,19,1,0,-19,19,1,2,6,3
0,7,86,16,4,0,-16,16,4,2,8,4
0,7,87,12,8,0,-12,12,6,2,8,4
0,7,96,12,8,0,-12,12,6,2,8,4
0,7,199,19,1,0,-19,19,1,2,12,6
0,7,202,18,2,0,-18,18,2,2,6,3
0,7,219,15,5,0,-15,15,3,2,4,2
0,7,304,16,4,0,-16,16,4,2,8,4
0,7,305,12,8,0,-12,12,6,2,8,4
0,7,308,15,5,0,-15,15,5,2,2,1
0,7,311,12,8,0,-12,12,6,2,8,4
0,7,324,12,8,0,-12,12,6,2,8,4
0,7,325,8,12,0,-8,8,6,2,8,4
0,7,328,8,12,0,-8,8,6,2,8,4
0,7,329,4,16,0,-4,4,4,2,14,7
0,7,553,18,2,0,-18,18,2,2,6,3
0,7,555,17,3,0,-17,17,3,2,4,2
0,7,576,17,3,0,-17,17,3,2,4,2
0,7,578,16,4,0,-16,16,4,2,4,2
0,7,807,19,1,0,-19,19,1,2,6,3
0,7,810,18,2,0,-18,18,2,2,8,4
0,7,819,18,2,0,-18,18,2,2,4,2
0,7,850,18,2,0,-18,18,2,2,4,2
0,7,860,16,4,0,-16,16,4,2,4,2
0,7,1054,16,4,0,-16,16,4,2,6,3
0,7,1055,12,8,0,-12,12,6,2,10,5
0,7,1061,12,8,0,-12,12,6,2,8,4
0,7,1062,8,12,0,-8,8,6,2,8,4
0,7,1075,12,8,0,-12,12,6,2,8,4
0,7,1079,8,12,0,-8,8,6,2,8,4
0,7,1080,4,16,0,-4,4,4,2,2,1
0,7,1094,11,9,0,-11,11,7,2,4,2
0,7,1126,12,8,0,-12,12,6,2,12,6
0,7,1127,8,12,0,-8,8,6,2,8,4
0,7,1129,11,9,0,-11,11,7,2,4,2
0,7,1134,4,16,0,-4,4,4,2,2,1
0,7,1142,4,16,0,-4,4,4,2,2,1
0,7,1143,4,16,0,-4,4,4,2,2,1
0,7,1144,0,20,0,0,0,0,1,32,16
1,3,2,16,0,4,-12,20,8,2,32,16
1,3,8,15,1,4,-11,19,7,3,10,5
1,3,88,12,4,4,-8,16,10,3,6,3
1,3,200,15,1,4,-11,19,9,3,4,2
1,3,306,12,4,4,-8,16,10,3,2,1
1,3,589,9,7,4,-5,13,7,3,2,1
1,3,593,8,8,4,-4,12,6,3,4,2
1,3,809,15,1,4,-11,19,9,3,4,2
1,3,828,10,6,4,-6,14,10,3,4,2
1,3,1056,12,4,4,-8,16,10,3,6,3
1,3,1128,8,8,4,-4,12,10,3,2,1
2,2,3,16,0,4,-8,24,12,2,8,4
2,2,15,12,4,4,-4,20,14,3,6,3
2,2,89,12,4,4,-4,20,14,3,6,3
2,2,222,11,5,4,-3,19,13,3,2,1
2,2,226,10,6,4,-2,18,12,3,2,1
2,2,307,12,4,4,-4,20,14,3,6,3
2,2,590,9,7,4,-1,17,11,3,2,1
2,2,1057,12,4,4,-4,20,14,3,6,3
11,2,21,16,3,1,-13,19,7,3,10,5
11,2,100,12,7,1,-9,15,9,3,12,6
11,2,315,12,7,1,-9,15,9,3,4,2
11,2,1147,4,15,1,-1,7,7,3,2,1
12,2,23,16,0,4,-12,20,8,2,32,16
12,2,24,12,4,4,-8,16,10,3,4,2
12,2,316,12,4,4,-8,16,10,3,2,1
12,2,322,11,5,4,-7,15,9,3,6,3
12,2,1063,12,4,4,-8,16,10,3,6,3
21,2,34,16,0,4,-9,23,11,3,12,6
21,2,105,12,4,4,-5,19,13,4,8,4
21,2,585,13,3,4,-6,20,14,4,10,5
21,2,596,9,7,4,-2,16,12,4,4,2
21,2,818,15,1,4,-8,22,12,4,2,1
21,2,942,11,5,4,-4,18,12,4,2,1
21,2,1138,8,8,4,-1,15,13,4,4,2
34,2,47,16,0,4,-5,27,15,3,8,4
34,2,48,12,4,4,-1,23,17,4,10,5
34,2,107,12,4,4,-1,23,17,4,8,4
34,2,1148,4,12,4,7,15,15,4,2,1
86,2,122,16,0,4,-12,20,8,2,32,16
86,2,123,12,4,4,-8,16,10,3,6,3
86,2,132,12,4,4,-8,16,10,3,4,2
86,2,565,9,7,4,-5,13,7,3,2,1
86,2,601,8,8,4,-4,12,6,3,4,2
86,2,1086,12,4,4,-8,16,10,3,4,2
87,3,124,12,0,8,-4,20,12,2,16,8
87,3,128,11,1,8,-3,19,11,3,4,2
87,3,133,8,4,8,0,16,12,3,8,4
87,3,232,11,1,8,-3,19,11,3,4,2
87,3,234,10,2,8,-2,18,10,3,2,1
87,3,335,8,4,8,0,16,12,3,8,4
87,3,336,4,8,8,4,12,10,3,8,4
87,3,564,10,2,8,-2,18,10,3,10,5
87,3,566,9,3,8,-1,17,9,3,4,2
87,3,598,9,3,8,-1,17,9,3,4,2
87,3,602,8,4,8,0,16,8,3,10,5
87,3,1087,8,4,8,0,16,12,3,16,8
87,3,1088,4,8,8,4,12,10,3,8,4
87,3,1156,4,8,8,4,12,10,3,8,4
100,2,138,12,0,8,-1,23,15,3,8,4
100,2,237,11,1,8,0,22,14,4,4,2
100,2,568,10,2,8,1,21,15,4,4,2
100,2,607,9,3,8,2,20,14,4,10,5
100,2,608,5,7,8,6,16,12,4,8,4
110,2,142,16,0,4,-11,21,9,3,6,3
110,2,143,12,4,4,-7,17,11,4,6,3
110,2,144,12,4,4,-7,17,11,4,6,3
110,2,239,15,1,4,-10,20,8,4,4,2
122,2,150,16,0,4,-8,24,12,2,8,4
122,2,151,12,4,4,-4,20,14,3,6,3
122,2,156,11,5,4,-3,19,13,3,2,1
122,2,160,12,4,4,-4,20,14,3,6,3
122,2,245,10,6,4,-2,18,12,3,2,1
122,2,341,12,4,4,-4,20,14,3,6,3
122,2,569,9,7,4,-1,17,11,3,2,1
122,2,960,11,5,4,-3,19,13,3,2,1
122,2,1091,12,4,4,-4,20,14,3,6,3
199,3,249,19,0,1,-18,20,2,2,12,6
199,3,250,15,4,1,-14,16,6,3,6,3
199,3,268,11,8,1,-10,12,6,3,4,2
199,3,343,16,3,1,-15,17,5,3,6,3
199,3,344,12,7,1,-11,13,7,3,2,1
199,3,347,12,7,1,-11,13,7,3,2,1
199,3,351,12,7,1,-11,13,7,3,6,3
199,3,1158,12,7,1,-11,13,7,3,4,2
199,3,1159,8,11,1,-7,9,7,3,4,2
206,2,259,15,3,2,-11,19,9,4,12,6
206,2,273,11,7,2,-7,15,9,4,4,2
206,2,1163,8,10,2,-4,12,10,4,6,3
249,2,295,19,0,1,-17,21,3,2,10,5
249,2,297,18,1,1,-16,20,4,3,4,2
249,2,365,16,3,1,-14,18,6,3,4,2
