future_id,chi,n,edges,anchor_neg,anchor_zero,anchor_pos,anchor_sum,anchor_abs_sum,anchor_asym_l1,anchor_distinct,conflicting_actions,max_action_edges,edge_union_check
0,7,44,224,20,0,0,-20,20,0,1,30,45,224
374,4,12,10,16,3,1,-13,19,7,3,6,4,10
578,4,6,6,16,4,0,-16,16,4,2,2,6,6
1329,3,12,14,18,0,2,-16,20,4,2,8,5,14
1054,3,12,13,16,4,0,-16,16,4,2,28,4,13
1,3,11,8,16,4,0,-16,16,4,2,12,3,8
87,3,14,5,12,8,0,-12,12,6,2,2,5,5
819,3,4,5,18,2,0,-18,18,2,2,8,4,5
199,3,9,4,19,1,0,-19,19,1,2,4,3,4
1374,3,5,4,17,0,3,-14,20,6,2,4,3,4
2208,3,6,3,16,3,1,-13,19,7,3,2,3,3
