future_id,chi,u,v,witness_action_id,witness_action,winning_rows,differing_winning_rows,next_future_u,next_future_v,num_witness_actions
0,7,0,807,15,-1 1 1 1 1,0,0,1054,1541,2
0,7,0,199,8,-1 1 -1 -1 -1,1,1,304,343,2
0,7,0,553,15,-1 1 1 1 1,0,0,1054,1205,2
0,7,0,1144,1,-1 -1 -1 -1 1,4,4,1,2,30
0,7,0,1126,7,-1 -1 1 1 1,0 1,0 1,1126,1695,10
0,7,0,1055,1,-1 -1 -1 -1 1,4,4,1,2,6
0,7,807,199,8,-1 1 -1 -1 -1,1,1,304,343,4
0,7,807,553,15,-1 1 1 1 1,0,0,1541,1205,2
0,7,807,1144,8,-1 1 -1 -1 -1,1,1,304,395,4
0,7,807,1126,8,-1 1 -1 -1 -1,1,1,304,395,4
0,7,807,1055,15,-1 1 1 1 1,0,0,1541,1632,2
0,7,199,553,15,-1 1 1 1 1,0,0,1054,1205,2
0,7,199,1144,1,-1 -1 -1 -1 1,4,4,1,2,10
0,7,199,1126,8,-1 1 -1 -1 -1,1,1,343,395,4
0,7,199,1055,1,-1 -1 -1 -1 1,4,4,1,2,6
0,7,553,1144,5,-1 -1 1 -1 1,2 4,2 4,87,124,4
0,7,553,1126,15,-1 1 1 1 1,0,0,1205,1632,2
0,7,553,1055,15,-1 1 1 1 1,0,0,1205,1632,2
0,7,1144,1126,9,-1 1 -1 -1 1,1 4,4,397,396,4
0,7,1144,1055,10,-1 1 -1 1 -1,1 3,1 3,404,311,2
0,7,1126,1055,10,-1 1 -1 1 -1,1 3,1,401,311,2
1,3,2,8,3,-1 -1 -1 1 1,3 4,3,15,19,2
1,3,2,88,4,-1 -1 1 -1 -1,2,2,87,123,2
1,3,8,88,4,-1 -1 1 -1 -1,2,2,87,123,2
2,2,3,89,4,-1 -1 1 -1 -1,2,2,88,124,4
11,2,21,100,6,-1 -1 1 1 -1,2 3,2,105,138,2
12,2,23,24,3,-1 -1 -1 1 1,3 4,4,37,38,2
21,2,34,105,4,-1 -1 1 -1 -1,2,2,100,134,2
34,2,107,47,4,-1 -1 1 -1 -1,2,2,138,105,4
86,2,122,123,1,-1 -1 -1 -1 1,4,4,87,88,2
87,3,124,1087,15,-1 1 1 1 1,0,0,1076,1652,2
