future_id,chi,clique_rank,vertex_id,field_deltaW
0,7,0,0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
0,7,1,807,0 0 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
0,7,2,199,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
0,7,3,553,0 -1 0 -1 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
0,7,4,1144,0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0
0,7,5,1126,0 0 0 0 0;0 0 0 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
0,7,6,1055,0 0 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0
1,3,0,2,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0
1,3,1,8,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;1 1 1 1 0
1,3,2,88,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;1 1 1 1 0
2,2,0,3,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;2 2 2 2 0
2,2,1,89,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;2 2 2 2 0
11,2,0,21,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 3;-1 -1 -1 -1 0
11,2,1,100,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;0 0 0 0 3;-1 -1 -1 -1 0
12,2,0,23,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 1;-1 -1 -1 -1 0
12,2,1,24,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 1;0 0 0 0 0
21,2,0,34,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0
21,2,1,105,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;1 1 1 0 4;-1 -1 -1 -1 0
34,2,0,107,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;2 2 2 0 5;-1 -1 -1 -1 0
34,2,1,47,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 5;-1 -1 -1 -1 0
86,2,0,122,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
86,2,1,123,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;0 0 0 0 0
